job,company,location,salary
Data Scientist Senior/Lead,Tankard Recruitment,Leeds,57500.0
Data And Analytics Change Analyst,Skipton Building Society,Leeds,26500.0
"Business Intelligence Analyst (BI Analyst, Data Analyst, SQL...",Ampersand Consulting,Leeds,32500.0
Systems & Data Analyst,XCM,Leeds,40000.0
Junior Data Analyst x 2 (SQL),Interface Recruitment,Leeds,22000.0
357 - Data Analyst job opportunity,Interface Recruitment,Leeds,35000.0
Senior BI Analyst,Hermes,Leeds,34750.0
Data (BI) Consultant,hublsoft Ltd,Leeds,40000.0
Power BI Analyst,Compass Group UK & Ireland,Leeds,32500.0
Data Analysis and Dev,Interface Recruitment,Leeds,35000.0
SQL / BI Developer,Skipton Building Society,Leeds,29000.0
Business Intelligence focused BA,Interface Recruitment,Leeds,40000.0
Senior BI Analyst,Marks Sattin Specialist Recruitment,Leeds,40000.0
REF 576 Business intelligence SSIS SSAS SSRS - large TERABYT...,Interface Recruitment,Leeds,37500.0
REF 576 - BI Developer - Preference for Qlikview / Qlik Sens...,Interface Recruitment,Leeds,37500.0
Business Intelligence Developer - MS BI Stack - £60k,Interface Recruitment,Leeds,60000.0
Business Intelligence Analyst - Large supportive Company,Interface Recruitment,Leeds,35000.0
BI Developer / Datawarehouse Developer - SQL,Interface Recruitment,Leeds,45000.0
Senior BI Developer - FS Client with Data Driven Culture - R...,Interface Recruitment,Leeds,30000.0
BI Developer - Preference for Qlikview / Qlik Sense with the...,Interface Recruitment,Leeds,37500.0
SQL BI Developer - Bradford - Financial Services Sector - RE...,Interface Recruitment,Leeds,36000.0
Business Intelligence Developer - T-SQL SSIS QLIKVIEW - West...,Interface Recruitment,Leeds,45000.0
BI Analyst,Tankard Recruitment,Leeds,27704.5
Business Analyst (Business Intelligence Team) Data Warehouse...,Interface Recruitment,Leeds,42500.0
Information Manager (Business Intelligence),(CC) Leeds Community Healthcare NHS Trust,Leeds,41696.5
.NET & SQL Developer,XCM,Leeds,32500.0
634 - Junior Software Engineer in test - gain exposure to Py...,Interface Recruitment,Leeds,22000.0
SQL DBA - BI focused environment,Interface Recruitment,Leeds,42500.0
Data Architect,StepChange Debt Charity,Leeds,50900.0
Data Engineer,Hitachi Capital UK,Leeds,50000.0
Data Lead,Support Warehouse,Leeds,35000.0
Senior Data Operations Manager,Support Warehouse,Leeds,35000.0
Data Engineer,Support Warehouse,Leeds,35000.0
APP SUPPORT W/ SQL - AWARD WINNING ORG - CUTTING EDGE TECH -...,Interface Recruitment,Leeds,22500.0
Data Warehouse Developer ( SQL Server ),Oliver James Associates,Leeds,50000.0
SAS Developer (Data Integration and Quality Lead) - £55k + 1...,Interface Recruitment,Leeds,52500.0
Academy Trainer/Assessor,Yorkshire Water,Leeds,40500.0
AI Software Engineer,Zebra People,Leeds,65000.0
Senior Data Engineer - Python - 736DEEP,Interface Recruitment,Leeds,52500.0
Data Scientist,University Hospitals Birmingham NHS Foundation Tru...,Birmingham,41696.5
Data Scientist,Nationwide People Limited,Birmingham,57500.0
Senior Data Analyst / Scientist,Oscar Technology,Birmingham,55000.0
Machine Learning Engineer/Data Scientist - AI,Eligo Recruitment Ltd,Birmingham,52500.0
Python Backend Engineer - Machine Learning,Eligo Recruitment Ltd,Birmingham,60000.0
"Developer - Front End, Python, Machine Learning",Modis,Birmingham,52500.0
Performance and Data Analyst (SQL) - Mat Cover,The Pioneer Group,Birmingham,33141.0
Data Reporting Analyst,SF Group,Birmingham,24500.0
Data Analyst,Utility Team Trading Ltd,Birmingham,21500.0
Data Analyst,cloudThing,Birmingham,37500.0
Systems Support and Data Analyst,Coventry City Council,Birmingham,20816.5
Data Governance Analyst (12 month Fixed Term Contract),NFU Mutual,Birmingham,30000.0
Graduate Data Analyst,Agility Resourcing,Birmingham,22000.0
Data Analyst,Consilium Recruit,Birmingham,32000.0
Data & Reporting Specialist,EP Professional,Birmingham,25300.0
BI Analyst,Spring,Birmingham,42500.0
Business Intelligence Developer,Delaney & Bourton,Birmingham,45000.0
BI Developer,Delaney & Bourton,Birmingham,45000.0
BI SQL DEVELOPER (PIG SCRIPTER),Talent Locker,Birmingham,65000.0
Business Intelligence Analyst (Remote Interviewing Confirmed...,Michael Page UK,Birmingham,37500.0
"Senior BI Developer – T-SQL, SSIS",Devi Technologies,Birmingham,37750.0
BI Engineer,Spring,Birmingham,55000.0
Business Intelligence Manager,Spring,Birmingham,52500.0
Business Intelligence / Analytics Manager,Michael Page UK,Birmingham,43000.0
"Senior BI Developer (ETL, DWH BUILD)",Harnham,Birmingham,50000.0
"MI Developer (SQL, SSRS, SSAS, QlikView)",Ampersand Consulting,Birmingham,40000.0
Data Engineer - Python,Harnham,Birmingham,40000.0
Business Intelligence Developer,West Midlands Ambulance Service University NHS Fou...,Birmingham,41696.5
Director of Business Intelligence & Systems,City College Coventry,Birmingham,50827.5
Senior SQL / ETL Developer - Insurance / Financial Modelling,Michael Page UK,Birmingham,60000.0
Advanced Data and Information Systems Engineer,Consilium Recruit,Birmingham,36500.0
Senior Data and Information Systems Engineer,Consilium Recruit,Birmingham,43000.0
Project Coordinator – Analytics,Express Recruitment,Birmingham,25000.0
Analytics Manager,Harnham,Birmingham,52500.0
NLP Data Scientist,MBN Solutions,Glasgow,60000.0
Research Associate: I. Machine Learning for Reactor Design &...,University of Strathclyde,Glasgow,36569.5
Data / MI Analyst,Aberlour Childcare,Glasgow,35064.0
HR Data Analyst,University of the West Scotland,Glasgow,32945.0
BI Developer,IBU Consulting Pvt Limited,Glasgow,49119.5
BI Developer (Data Warehouse Design/Dimensional Modelling),Head Resourcing Limited,Glasgow,45000.0
Research Associate on AISEC: AI Secure and Explainable Const...,University of Strathclyde,Glasgow,36569.5
Research Associate in Machine Learning for Natural Language...,University of Sheffield,Sheffield,36094.0
Deep Learning Engineer (Machine Learning),Drone Defence,Sheffield,30000.0
Data Analyst,British Business Bank,Sheffield,30000.0
Business Systems Analyst - BI & CRM,Modis,Sheffield,38500.0
Business Intelligence Analyst (Commercial Analytics),Michael Page UK,Sheffield,32500.0
Senior BI Developer / Data Engineer,Oscar Technology,Sheffield,57500.0
Data Warehouse Developer ( SQL Server ),Oliver James Associates,Sheffield,50000.0
